time, act_r, act_thr, th_mo, th_bi
0.0203,0.339989,1.58745,0.764383,2.41051
0.0204,0.339899,1.58739,0.764079,2.4107
0.0205,0.33981,1.58733,0.763772,2.41088
0.0206,0.33972,1.58726,0.763464,2.41106
0.0207,0.339631,1.58719,0.763154,2.41123
0.0208,0.339542,1.58712,0.762841,2.41141
0.0209,0.339453,1.58705,0.762527,2.41158
0.021,0.339364,1.58698,0.762211,2.41175
0.0211,0.339275,1.5869,0.761893,2.41191
0.0212,0.339186,1.58682,0.761573,2.41208
0.0213,0.339098,1.58674,0.761251,2.41224
0.0214,0.339009,1.58666,0.760928,2.4124
0.0215,0.33892,1.58658,0.760602,2.41255
0.0216,0.338832,1.58649,0.760275,2.41271
0.0217,0.338743,1.5864,0.759946,2.41286
0.0218,0.338655,1.58631,0.759615,2.41301
0.0219,0.338567,1.58622,0.759283,2.41315
0.022,0.338479,1.58612,0.758949,2.4133
0.0221,0.338391,1.58603,0.758613,2.41344
0.0222,0.338303,1.58593,0.758276,2.41358
0.0223,0.338215,1.58583,0.757936,2.41372
0.0224,0.338128,1.58572,0.757596,2.41385
0.0225,0.33804,1.58562,0.757253,2.41399
0.0226,0.337952,1.58551,0.756909,2.41412
0.0227,0.337865,1.58541,0.756564,2.41425
0.0228,0.337778,1.5853,0.756217,2.41437
0.0229,0.337691,1.58518,0.755868,2.4145
0.023,0.337603,1.58507,0.755518,2.41462
0.0231,0.337516,1.58495,0.755167,2.41474
0.0232,0.337429,1.58484,0.754814,2.41486
0.0233,0.337343,1.58472,0.75446,2.41498
0.0234,0.337256,1.5846,0.754104,2.41509
0.0235,0.337169,1.58447,0.753747,2.4152
0.0236,0.337083,1.58435,0.753389,2.41531
0.0237,0.336997,1.58422,0.753029,2.41542
0.0238,0.33691,1.5841,0.752669,2.41553
0.0239,0.336824,1.58397,0.752306,2.41563
0.024,0.336738,1.58384,0.751943,2.41573
0.0241,0.336652,1.58371,0.751579,2.41583
0.0242,0.336566,1.58357,0.751213,2.41593
0.0243,0.33648,1.58344,0.750846,2.41603
0.0244,0.336395,1.5833,0.750478,2.41613
0.0245,0.336309,1.58316,0.750109,2.41622
0.0246,0.336224,1.58302,0.749739,2.41631
0.0247,0.336138,1.58288,0.749367,2.4164
0.0248,0.336053,1.58274,0.748995,2.41649
0.0249,0.335968,1.5826,0.748622,2.41658
0.025,0.335883,1.58245,0.748248,2.41666
0.0251,0.335798,1.58231,0.747873,2.41675
0.0252,0.335713,1.58216,0.747497,2.41683
0.0253,0.335628,1.58201,0.74712,2.41691
0.0254,0.335543,1.58187,0.746742,2.41699
0.0255,0.335459,1.58171,0.746364,2.41707
0.0256,0.335374,1.58156,0.745984,2.41714
0.0257,0.33529,1.58141,0.745604,2.41722
0.0258,0.335206,1.58126,0.745224,2.41729
0.0259,0.335121,1.5811,0.744842,2.41736
0.026,0.335037,1.58095,0.74446,2.41743
0.0261,0.334953,1.58079,0.744077,2.4175
0.0262,0.334869,1.58063,0.743694,2.41757
0.0263,0.334786,1.58047,0.74331,2.41764
0.0264,0.334702,1.58032,0.742925,2.41771
0.0265,0.334618,1.58016,0.74254,2.41777
0.0266,0.334535,1.57999,0.742154,2.41784
0.0267,0.334451,1.57983,0.741768,2.4179
0.0268,0.334368,1.57967,0.741382,2.41796
0.0269,0.334285,1.57951,0.740995,2.41802
0.027,0.334201,1.57934,0.740608,2.41808
0.0271,0.334118,1.57918,0.74022,2.41814
0.0272,0.334035,1.57902,0.739832,2.4182
0.0273,0.333952,1.57885,0.739444,2.41826
0.0274,0.33387,1.57868,0.739055,2.41831
